subject_terms,doc_freq,matched_frequent_subject_term,max_similarity
indigenous languages,1,aboriginal australians,1.0
regulation,1,,0.0
australian history,1,aboriginal australians,1.0
asia,1,,0.0
marriage,1,,0.0
monitoring and evaluation,1,aboriginal australians,1.0
local government,1,aboriginal australians,1.0
parliament,1,,0.0
traffic,1,,0.0
sexual assault,1,aboriginal australians,1.0
broadcasting,1,,0.0
productivity,1,,0.0
audiences,1,,0.0
radio,1,,0.0
television,1,,0.0
rivers,1,,0.0
economic development,1,aboriginal australians,1.0
united nations,1,aboriginal australians,1.0
bullying,1,,0.0
economic policy,1,aboriginal australians,1.0
ideology,1,,0.0
policy research,1,aboriginal australians,1.0
productivity commission,1,education,1.0
public spaces,1,communities,1.0
rudd,1,,0.0
science,1,,0.0
enterprise,1,aboriginal australians,1.0
justice system,1,aboriginal australians,1.0
juvenile justice,1,aboriginal australians,1.0
criminology,1,,0.0
legal aid,1,aboriginal australians,1.0
marijuana,1,,0.0
north australian aboriginal justice agency,1,aboriginal australians,1.0
policing,1,indigenous,1.0
property,1,,0.0
patients,1,,0.0
home ownership,1,aboriginal australians,1.0
safety,1,,0.0
politicians,1,,0.0
engineering,1,,0.0
petrol,1,,0.0
human services,1,aboriginal australians,1.0
child safety,1,communities,1.0
policy reform,1,aboriginal australians,1.0
quality of life,1,aboriginal australians,1.0
reform,1,,0.0
temporary mobility,1,indigenous,1.0
land councils,1,aboriginal australians,1.0
movement,1,,0.0
indigenous students,1,indigenous,1.0
opportunity,1,indigenous affairs,1.0
parks,1,aboriginal australians,1.0
medical care,1,government,1.0
mortality rates,1,aboriginal australians,1.0
chronic diseases,1,aboriginal australians,1.0
ageing,1,aboriginal australians,1.0
equity,1,,0.0
business,1,,0.0
home loans,1,indigenous affairs,1.0
rheumatic fever,1,aboriginal australians,1.0
collaboration,1,,0.0
organisational culture,1,research,1.0
child abuse,1,aboriginal australians,1.0
public service,1,aboriginal australians,1.0
war,1,,0.0
heart disease,1,aboriginal australians,1.0
databases,1,,0.0
fever,1,,0.0
referendum,1,,0.0
strategy,1,communities,1.0
job seekers,1,indigenous,1.0
jobs,1,communities,1.0
major cities,1,aboriginal australians,1.0
older people,1,aboriginal australians,1.0
data collection,1,aboriginal australians,1.0
sex,1,,0.0
geography,1,,0.0
catchment,1,,0.0
early learning,1,aboriginal australians,1.0
early intervention,1,aboriginal australians,1.0
decision making,1,communities,1.0
education research,1,aboriginal australians,1.0
racism,1,,0.0
legislation,1,,0.0
high court,1,aboriginal australians,1.0
burden of disease,1,aboriginal australians,1.0
health services,1,aboriginal australians,1.0
cross-cultural,1,,0.0
ALP,1,,0.0
unemployment,1,,0.0
flexible learning,1,education,1.0
internal migration,1,aboriginal australians,1.0
conflict,1,aboriginal australians,1.0
social value,1,aboriginal australians,1.0
households,1,families,1.0
sustainable development,1,aboriginal australians,1.0
economic growth,1,aboriginal australians,1.0
housing and health,1,aboriginal australians,1.0
socioeconomic status,1,aboriginal australians,1.0
banks,1,,0.0
gangs,1,,0.0
evidence-based policy,1,aboriginal australians,1.0
displacement,1,,0.0
aurukun,1,,0.0
diversity,1,policy,1.0
family life,1,aboriginal australians,1.0
land management,1,aboriginal australians,1.0
threatened species,1,aboriginal australians,1.0
wetlands,1,,0.0
mental health,1,policy,1.0
health professionals,1,aboriginal australians,1.0
health care,1,aboriginal australians,1.0
TAFE,1,,0.0
poverty,1,aboriginal australians,1.0
social inclusion,1,aboriginal australians,1.0
social exclusion,1,indigenous,1.0
money,1,,0.0
social policy,1,aboriginal australians,1.0
regional and remote,1,aboriginal australians,1.0
nurses,1,aboriginal australians,1.0
teachers,1,aboriginal australians,1.0
performance management,1,aboriginal australians,1.0
