Nid,Title,Description,Summary,Subject(s)
838,Training offers Indigenous Australians benefits: first findings of new national survey,"Vocational education and training provides a broad range of benefits, according to the initial findings of a recent nationwide survey of Indigenous Australians who undertook training in 2003. High numbers of students reported that training helped to improve their confidence/self-esteem and become more involved in their communities, as well as improving their workplace skills and gaining employment or a better/different job.
",,Aboriginal Australians
894,Lessons learnt about strengthening Indigenous families and communities,"The Stronger Families and Communities Strategy 2000–2004 was an Australian Government initiative funded by the Department of Family and Community Services (FaCS) to help build family and community capacity to deal with challenges and take advantage of opportunities. In 2002, a consortium led by CIRCLE (the Collaborative Institute for Research Consulting and Learning in Evaluation) at RMIT University was commissioned by FaCS to undertake a national evaluation of the Strategy.
This report discusses what has been learned from the Strategy 2000–04 about how to strengthen Indigenous families and communities. These lessons have implications for future interventions funded through the Strategy 2004–09, and through other funding initiatives and programs. The report provides insights into critical factors that explain the success of some projects and some of the frustrations experienced by others.
",,Aboriginal Australians
969,"Injury of Aboriginal and Torres Strait Islander people due to transport, 1999-00 to 2003-04","This report looks at the death and serious injury of Indigenous persons in Australia due to transport accidents in the five-year period 1999 - 00 to 2003 - 04. 
It focuses on the four jurisdictions of the Northern Territory, Western Australia, South Australia and Queensland and examines variables such as mode of transport, gender, age group and remoteness from an urban centre.  This report looks at the death and serious injury of Indigenous persons in Australia due to transport accidents in the five-year period 1999 - 00 to 2003 - 04. It focuses on the four jurisdictions of the Northern Territory, Western Australia, South Australia and Queensland and examines variables such as mode of transport, gender, age group and remoteness from an urban centre.
",,Aboriginal Australians
991,Indigenous job search success,"One important and under-researched aspect of labour market policy is the extent to which policy interventions are effective in modifying job search behaviour. Furthermore, there is little extant research on whether certain job search behaviours lead to labour market success. Matthew Gray and Boyd Hunter's analysis uses the only large-scale longitudinal survey of Indigenous Australians to examine the effects of job search behaviour. One major finding is that the introduction of the Job Search Diary during the survey period was effective in increasing search intensity - but this increase in intensity did not result in increased employment rates.
",,Aboriginal Australians
1009,Lessons from the Tiwi Islands: the need for radical improvement in remote Aboriginal communities,"John Cleary, former Tasmanian MP and minister, served three years as chief executive officer of the Tiwi Islands remote Aboriginal community. He has drawn on this experience to outline the need for change across all areas in remote Aboriginal communities: health, housing, education, employment and training, governance, Land Councils, business and funding. In this paper he sets out the policy reforms needed to reduce deprivation in remote Aboriginal communities.
",,Aboriginal Australians
1097,Sustainable tenancy for Indigenous families: what services and policy supports are needed? Final report,"Lesley Cooper, Mary Morris present the findings of the project, 'Sustainable Tenancy for Indigenous Families: What Services and Policy Supports are Needed?', which aimed to identify the major factors that initiate and sustain iterative homelessness among Indigenous families, especially Indigenous women and children, in both urban and remote areas.
",,Aboriginal Australians
1110,Culture and wellbeing: the case of Indigenous Australians,"A recurring theme in the debate surrounding Indigenous affairs in Australia is a tension between maintenance of Indigenous culture and the achievement of ‘equity’ in socioeconomic outcomes: essentially ‘self-determination’ versus ‘assimilation’. Implicit in this tension is the view that attachment to traditional culture and lifestyles is a hindrance to the achievement of ‘mainstream’ economic goals.
This paper argues the need for a renewed focus on the wellbeing of Indigenous Australians, and for empirical evidence on the link between culture and socio-economic wellbeing instead of ideological debate. Using data from National Aboriginal and Torres Strait Islander Social Survey, a strong attachment to traditional culture is found to enhance outcomes across a range of socioeconomic indicators. This suggests Indigenous culture should be viewed as a potential part of the solution to Indigenous disadvantage in Australia, and not as part of the problem.
",,Aboriginal Australians
1119,Recognition of Aboriginal and Torres Strait Islander rights,"The recognition of rights remains a fundamental objective for many Aboriginal and Torres Strait Islanders. In this paper Megan Davis draws on the objectives of one of the four National Strategies in the Roadmap for Reconciliation, 'Recognising Aboriginal and Torres Strait Islander Rights'. She provides an overview of the framework of human rights, relevant to Aboriginal and Torres Strait Islanders rights, that exist internationally and domestically: universal human rights, Indigenous-specific rights and domestic legal protections.
",,Aboriginal Australians
1150,Spatial mobility among Indigenous Australians: patterns and determinants,"Using recent census data, Yohannes Kinfu finds that compared to the general population, Indigenous Australians are highly mobile and largely engaged in short rather than long distance migration.
",,Aboriginal Australians
1178,Reporting Indigenous Australia,"This year's winner of the Graham Perkin Award for Journalism, The Australian's Tony Koch, speaks to the Media Report about the difficulties involved in covering Indigenous issues.
",,Aboriginal Australians
1196,"What job, which house? Simple solutions to complex problems in Indigenous affairs","In a recent paper, former Keating government minister Gary Johns advocates a ‘no job, no house’ policy for remote Indigenous communities. Johns’ proposal is the latest in a line of offerings from conservative politicians and commentators on Aboriginal affairs. What arguments and evidence support such proposals? What do they say about the state of Indigenous politics in Australia? Will they work?
",,Aboriginal Australians
1199,Petrol bowsers for washing kids' faces: a new era in Indigenous policy,"Indigenous leaders have described the federal government's new approach to Indigenous policy as a return to assimilation, as blackmail, and as a form of social engineering. Others have heralded it as a much needed new direction in Indigenous affairs. Ruth McCausland examines the government's Indigenous policy and its implications for Indigenous communities.
",,Aboriginal Australians
1727,Aboriginal services plan: key indicators 2006/07,"Aboriginal Services Plan Key Indicators 2006/07 is the sixth report by the Department of Human Services (DHS) against the Aboriginal Services Plan1 2004. The Plan outlines the department’s commitment to improve the health and wellbeing of Aboriginal Victorians by better focusing resources and working in close partnership with Aboriginal people, organizations and communities. Aboriginal Services Plan Key Indicators is an integral part of the reporting and monitoring regime established as part of the Plan.
",,Aboriginal Australians
1804,Strong foundations: rebuilding social norms in indigenous communities - conference proceedings,"This conference, themed ""Strong Foundations: Rebuilding Social Norms in Indigenous Communities"", challenges the predominant view that the 'answer' to Indigenous disadvantage in Australia (particularly in remote communities) lies exclusively in improving service delivery. Better services are important but will only go so far in addressing entrenched socio-economic problems. What is needed in concert with better services, is a rebuilding of the social norms which form the foundation of a healthy society.
Speaker presentations are available to download in various formats and DVDs are available to order. Please note, not all presentations are online at this stage. Presenters were: Mr. Noel Pearson, Dr. Ken Henry, Prof. Marcia Langton, Ms. Tania Major, Mr. Sandy McCutcheon, Mr. Michael Meyers, Prof. Lawrence Mead, Prof. Ron Duncan, Mr Wilfred Gordon, Dr. Judy Bennett, Dr. Chris Sarra, Prof. Peter Saunders, Mr. John Wenitong, Jane-Frances Kelly, Colin Rubenstein and Prof. Helen Milroy.
",,Aboriginal Australians
1966,Quarterly report on key indicators in Queensland's discrete Indigenous communities: April-June 2008,"This report provides a summary of the progress being made made to 'close the gap' and improve the quality of life for Indigenous Queenslanders living in discrete Aboriginal and mainland Torres Strait Islander communities. It outlines the key outcomes of the Queensland policy reform with the distinction between what has been already implemented and what is yet to be implemented. It includes an overview of the key indicators of community wellbeing, building on the previous report (January-March 2008) and including two indicators relating to child safety. An individual outcome report for all participating communities across Queensland for four key indicators is also provided.
",,Aboriginal Australians
2108,Reporting on Indigenous issues,"Antony Funnell interviews Tony Koch, senior reporter with The Australian newspaper, and this year's winner of the prestigious Graham Perkin Award for Journalism, an award he won for his coverage of Indigenous issues.
",,Aboriginal Australians
2311,On the move? Indigenous temporary mobility practices in Australia,"This paper draws together the disparate body of existing research regarding Indigenous temporary mobilities to build a more comprehensive picture of these population dynamics and their policy implications. 

A range of Indigenous population dynamics play out underneath the demographic picture that can be constructed from official statistics. Primary among these are temporary mobility practices. Although temporary movements are largely ‘uncaptured’ by conventional statistical measures, they are pervasive in public life and thought. Words like ‘walkabout’ and ‘nomadic’ are commonly used in public discourse to characterise Indigenous people as highly mobile over the short-term, and such movement is regularly constructed as problematic for mainstream health, education and housing providers.
This paper describes the temporal, spatial and demographic dimensions of Indigenous temporary mobilities, analyses the key contextual factors that shape them, and outlines how these population dynamics relate to the governing state. The paper concludes with an exploratory discussion of the policy options and implications relating to Indigenous temporary mobility. It outlines a number of areas that require further research and proposes productive ways forward as policy makers and service providers seek to more actively and intentionally engage with Indigenous temporary mobility practices.
",,Aboriginal Australians
2324,The needs of Indigenous students and their communities,"In accepting our responsibility to deal with the fundamental injustices still apparent among Indigenous students and their communities we must continue our campaigns aimed at achieving an increase in government effort, resources and the promotion of educational opportunities. While there are successful programs being implemented in some places, it must be acknowledged that these successes are usually isolated, short lived and do not have a wider positive impact on the overall system.
This brief paper outlines the key areas for action to improve the outcomes for Indigenous students and their communities.
 
",,Aboriginal Australians
2629,"Why the Northern Territory Government needs to support Outstations/Homelands in the Aboriginal, Northern Territory and national interest","The development of a Northern Territory outstation/homelands policy which meets the needs and aspirations of a dynamic and highly mobile population is extremely important. It is a complex and difficult task, but one which provides an important opportunity for outstations/homelands to be viewed as an integral component of the Northern Territory Government’s vision for ‘a framework for a sustainable future where development takes place within a context of land and sea conservation’ as envisaged in the Northern Territory Parks and Conservation Masterplan 2005. 
 An innovative outstation/homeland policy which solves the problem of government service delivery of Indigenous  Australians’ citizenship entitlements -- so that it provides a choice for Indigenous Australians where they want to  live and how they want to engage nationally and internationally in social, cultural and economic life -- is urgently needed.
 
",,Aboriginal Australians
2779,"Long-term trends in Indigenous deaths from chronic diseases in the Northern Territory: a foot on the brake, a foot on the accelerator","Mortality rates in the NT Indigenous population have been increasing since 1977, but there is evidence of a slower rise (or even a fall) in death rates in the 1990s. 
These early small changes give reason to hope that some improvements (possibly in medical care) have been putting the brakes on chronic disease mortality among Aboriginal and Torres Strait Islander peoples writes David P. Thomas and a team of researchers.Mortality rates from IHD and DM in the NT Indigenous population have been increasing since 1977, but there is evidence of a slower rise (or even a fall) in death rates in the 1990s. These early small changes give reason to hope that some improvements (possibly in medical care) have been putting the brakes on chronic disease mortality among Aboriginal and Torres Strait Islander peoples David P. Thomas and a team of researchers.
",,Aboriginal Australians
3184,Hospital procedures for diseases of the digestive tract in Aboriginal and Torres Strait Islander peoples and other Australians,"Hospitalisation rates for diseases of the digestive system are lower among Indigenous peoples compared with other Australians. However, of those who are hospitalised with a disease of the digestive system, Indigenous people are less likely to have a procedure recorded than other Australians. The aim of this study was to examine patterns of undergoing a procedure for diseases of the digestive tract once in hospital for Indigenous Australians compared with other Australians, after adjustment for a number of explanatory variables.
 Authors: Dr Anthony Moore, Department of Health and Ageing (seconded to   the Australian Institute of Health and Welfare)  Dr Hien Vu, Australian Institute of Health and Welfare  Dr Ana Herceg, Winnunga Nimmityjah Aboriginal Health Service (formerly  Office for Aboriginal and Torres Strait Islander Health,   Department of Health and Ageing)  Dr Fadwa Al-Yaman, Australian Institute of Health and Welfare
",,Aboriginal Australians
3402,Indigenous early learning and care,"Good quality Indigenous early learning and care can ameliorate the significant health, social, economic and political disadvantages experienced by Indigenous people in Australia.
Successful programs and services include those which emphasise the importance of Indigenous history and culture, Indigenous community control, and respectful supportive relationships between Indigenous and non- Indigenous people in order to provide quality, holistic early learning and care programs and services.
While all quality, inclusive early learning and care, should meet the needs of all the children it serves, most Indigenous and many non-Indigenous education professionals suggest that currently Indigenous specific services are best able to deliver culturally safe and strong care and learning environments. There is some evidence of promising practice among mainstream early intervention programs adapted for Indigenous children and families in different parts of Australia, Rigorous evaluation of both types of programs are required to determine their relative efficacy.
Written by Teresa Hutchins, Karen Martin, Sherry Saggers and Margaret Sims, Centre for Social Research, Edith Cowan University, Western Australia
",,Aboriginal Australians
3494,Factors associated with internal migration for Indigenous and non-Indigenous Australians,"Enhancing migration and mobility has been put forward as a solution to Indigenous disadvantage in Australia. To assess the feasibility of this suggestion, Nicholas Biddle and Boyd Hunter examine patterns of migration and factors associated with both the decision to move and the choice of destination. The results suggest that Indigenous Australians are less responsive to local economic factors than other Australians, and social and cultural factors appear to play a particularly significant role in their decision making.
",,Aboriginal Australians
3495,Views from the top of the ‘quiet revolution’: Secretarial perspectives on the new arrangements in Indigenous affairs,"In late 2005 Bill Gray and Will Sanders interviewed eleven members of the Commonwealth government’s Secretaries Group on Indigenous Affairs about their experiences of the new arrangements in Indigenous affairs since July 2004. This paper reports their findings on issues ranging from the Ministerial Taskforce and the National Indigenous Council to Indigenous Coordination Centres and local and regional agreement making, and offers some commentary and analysis.
",,Aboriginal Australians
3768,Lives of diversity: Indigenous Australia,"The national picture is one of difference between the lives of Indigenous and non-Indigenous Australians across nearly all the Census dimensions. The Indigenous population is significantly younger and growing at a faster rate; the economic items reveal broad-scale division; cultural differences are apparent around language and family life and there are discernible disconnections across the spatial dimensions of Indigenous and non-Indigenous lives.
But this aggregate perspective does not tell the full diversity story. An Australian Indigenous population analytical base, with its national patterns and trends, obscures the broader diversity of Indigenous lives. Standard disaggregation to state and territory level elicits the same limitations. While Indigenous lives are obviously lived within national and state and territory boundaries, it is their locations in specific places and spaces that most influence their shape, context and circumstances. Geographical place, at the level of the town, the region, the sector of the city or the community, is central to the conditions and milieus in which those lives are lived. For most Indigenous Australians, such locations are urban.
While media and public understandings are firmly directed towards discrete Indigenous communities, with an emphasis on the remote, most reside outside such places. Sydney is the place with the largest Indigenous population and the primary sites of current population increase are the cities of Brisbane, Broome and Coffs Harbour, not remote communities in the Northern Territory or Western Australia. Yes, Indigenous people remain significantly more likely to live in remote areas than other Australians, but nearly a third live in metropolitan areas, nearly half reside in regional areas and only a little over one quarter live their lives in remote sites. Indigenous individuals, families and communities have been urban residents since early colonial times and overall population trends indicate an ongoing Indigenous drift to the larger urban centres.
This is the second in a series of essays based on data from the 2006 Census, produced in cooperation with the Australian Bureau of Statistics.
",,Aboriginal Australians
3925,Caring for country: An overview of Aboriginal land management in the Top End of the Northern Territory,"Aboriginal People in the tropical savannah of the Northern Territory (NT) own 170,000 square kilometers of land including 85% of the coastline. Land and sea country have great cultural, economic and social significance to Aboriginal people, underpinning their culture and society. Aboriginal landowners continue to be reliant on the natural environment for both spiritual and physical well-being. Creation ancestors form part of a living landscape and practices such as hunting, foraging, burning, caring for sacred sites and ceremony have an important place in contemporary Aboriginal life. These practices ensure the maintenance of spiritual, cultural and economic connections to land and sea.
 From a scientific perspective these lands are some of the most biologically diverse and intact in the Northern Territory (and Australia). They support important biological values including nationally and internationally significant wetlands, migratory seabird and shorebird habitats and marine turtle nesting sites, rare and threatened species and endemic species. Many of these values are either very poorly represented or not represented at all in the Northern Territory's park system. Of the 23 bioregions represented in the Northern Territory, about one third occur predominantly on Aboriginal land.
 Owning and managing lands of such significance brings with it many diverse challenges. In the mid 1990s, to better meet these challenges, Aboriginal traditional landowners in the tropical savannah of the NT began to formalise their land and sea management activities through the establishment of the Caring for Country programme or what are commonly referred to as ranger groups.
 To date the Caring for Country programme has grown to include over 36 groups with up to 400 Aboriginal people employed in land and sea management. This seminar provides an overview of the Caring for Country Programme and examines how and why it works, as well as, what some of the challenges are that the programme faces.
 Please note: This seminar is available in both Streaming Audio and MP3 formats.
",,Aboriginal Australians
3928,Challenges to relapse prevention: psychiatric care of indigenous in-patients,"Partnerships between Aboriginal Mental Health Workers and non-Indigenous health professionals can assist in provision of culturally appropriate in-patient care and promotion of self-management and relapse prevention strategies.
Relapse is one of the major contributing factors to the high burden of disability of mental illness. Strategies for relapse prevention are needed. Aboriginal and Torres Strait Islander people continue to be over-represented in mental health care nationwide. Partnerships between Aboriginal Mental Health Workers (AMHWs) and non-Indigenous health professionals can assist in provision of culturally appropriate in-patient care and promotion of self-management and relapse prevention strategies.
",,Aboriginal Australians
3947,A comparative analysis of indirect methodologies for estimating Indigenous life expectancy,"Using data on the Northern Territory’s Indigenous population and deaths—the most accurate in the country—this report explores current methods used to estimate Indigenous life expectancy, and found that estimates can change by as much as 10 years merely by making small changes in the data sets used in the analyses. The report recommends the Australian Bureau of Statistics to use a simpler approach to derive official life expectancy estimates for Indigenous Australians.
",,Aboriginal Australians
3974,"Injury of Aboriginal and Torres Strait Islander peoples due to transport, 2001-02 to 2005-06","This report looks at the death and serious injury of Indigenous persons in Australia due to transport accidents in the five-year period 2001-02 to 2005-06. It focuses on the four jurisdictions of the Northern Territory, Western Australia, South Australia and Queensland and examines variables such as mode of transport, gender, age group and remoteness from an urban centre.
",,Aboriginal Australians
3991,Indigenous social exclusion: Insights and challenges for the concept of social inclusion,"The terms social exclusion and social inclusion originated in Europe (especially  France) and were intended to provide a contrast to the notion of poverty which  focussed excessively on the lack of money at a particular point of time, rather than  the dynamic social processes that perpetuate the lack of social participation and  contribution to the workings of society. In a sense it is an  attempt to create a positive agenda for social policy, but it can be no less culturally  specific than the notion of poverty. Each nation (and communities within nations)  can have its own view about what constitutes a good society. 
 Indigenous people are among the most socially excluded in Australia and Indigenous disadvantage is multidimensional, differing from other forms of poverty in Australia in the incidence and depth of disadvantage experienced.  
 This paper was presented at the Social Inclusion Down Under symposium hosted by the Brotherhood of St Laurence at the University of Melbourne 26 June 2008.
",,Aboriginal Australians
4178,Between places: Indigenous mobility in remote and rural Australia," 
In this positioning paper Paul Memmott, Stephen Long, Martin Bell, John Taylor and Dominic Brown outline a research project which aims to carry out a combination of statistical and field-based research on the residential mobility of Indigenous people in selected discrete and rural communities in order to quantify and contextualize their mobility patterns.
",,Aboriginal Australians
4339,Yolngu studies: A case study of Aboriginal community engagement,"The Yolngu studies program at Charles Darwin University has been active in the teaching of Yolngu (East Arnhemland Aboriginal) languages and culture, in collaborative transdisciplinary research, and in community engagement for well over ten years. The original undergraduate teaching program was set up under the guidance of Yolngu elders. They instituted key principles for the tertiary level teaching of Yolngu languages and culture, which reflected protocols for knowledge production and representation derived from traditional culture. These principles ensured the continuation of an ongoing community engagement practice that enabled the flourishing of a collaborative research culture in which projects were negotiated; these projects remain faithful to both western academic standards, and ancestral Aboriginal practices. The paper gives details of the program, the underlying Aboriginal philosophy, and some of the research projects. The success of the whole program can be seen to derive from the co-constitutivity of community engagement, research and teaching. In 2005 the program won the Prime Minister's award for Australia's best tertiary teaching program.
 NB: to access this article it is necessary to register with Gateways (at no cost) and provide contact information.
",,Aboriginal Australians
4395,Aboriginal and Torres Strait Islander views on research in their communities,"This paper is based on the minutes taken during extensive consultations with urban, regional and remote Indigenous communities across Australia during 2003-04 for Footprints in Time: The Longitudinal Study of Indigenous Children. The goal of the consultations was to ensure that the research project was designed to genuinely benefit Indigenous people. The report contains all the comments made and questions asked by the participants in the consultation meetings.
",,Aboriginal Australians
4447,The end of 'big men' politics,"Early this year I was approached by many young women, mothers, grandmothers, and those who work with them. At first I was nervous about what they may say: I knew I had stepped beyond what was expected of me in my Griffith REVIEW essay 'Trapped in the Aboriginal reality show'. I had prepared myself for hate mail and abuse, and that came, but for each abusive comment there were at least an equal number of women who contacted me and said, ‘You spoke for me’.
One woman pushed me to confront the core of the problem: ‘You and I know that the problem is big bunga politics.’ If you haven’t been in the Aboriginal world in the last thirty years, you may never have heard this phrase, but for those of us who have spent our lives fighting racism, agitating for change, for evidence-based policy, it describes something we know too well – the real politic of power in our world – power that is all too often used against women and children, power that takes many forms, and has too frequently been used for personal aggrandisement. The big bunga way – a scatological term used to refer to the ‘big man’ syndrome – works to the advantage of a few and has become normalised, and even glorified, in some circles. Meanwhile, assault, rape and an astonishing variety of other mental and physical forms of abuse have become the norm in far too many communities and families.
The symptoms of this are becoming increasingly well known – manifest in both vertical and lateral violence. At its core, there is a pattern of entrenched violence directed both against those in positions of official power, and poisonously and insidiously against those close by who have little power or capacity to respond. Violence as a proxy for power traumatises Indigenous families and communities in Australia, and in other countries that share a history of colonisation and displacement.
Vertical violence involves responses that are usually, though not always, disproportionate and dysfunctional, such as attacks on police officers, vehicles and stations. Anyone in a position of authority may be a target, as settlement battles are replayed. At times, the attacks are a response to abuses of power, but more often they are booze and dope fuelled rampages, such as the attacks which have been reported from time to time at Aurukun and Wadeye and the assaults on nurses and teachers. The usual result is that the nurses and teachers retreat, police officers are evacuated for a period of time and the gangs take over these townships, exacerbating the lawlessness, anarchy, crime and lateral violence – violence against their own.
In brief, the idea is that dissatisfaction and anger are expressed through acts of violence against the institutional supervisors, such as police, nurses and teachers. The consequences of this vicious, repetitive type of violence are that a parallel power structure evolves; the ‘big men politics’ that lie at the heart of both lateral and vertical violence that are reported much too regularly from Aboriginal Australia. It is painful and difficult to explain, but this is what I hope to do here.
",,Aboriginal Australians
4448,Indigenous Australians and land in New South Wales,"It is now some time since the initial phase of land rights legislation and native title law emerged in Australia. Talina Drabsch provides an overview of the current status of the relationship between Indigenous Australians and land in New South Wales, as expressed in legislation and in recent decisions of the High Court.
",,Aboriginal Australians
4483,Towards a gender-related index for Indigenous Australians,"There has been extensive research into the gap between Indigenous and non-Indigenous outcomes but very little of this has adopted a gender perspective. 
Using 2006 Census data, Yap and Biddle explore the development of a similar gender-related index as a tool to enable a relative ranking of the performance of Indigenous males and females at the regional level across a set of socioeconomic outcomes at the regional level.
",,Aboriginal Australians
4579,The burden of disease and injury in Aboriginal and Torres Strait Islander peoples 2003,"This report provides the first comprehensive assessment of the burden of disease of Indigenous Australians. Fatal and non-fatal outcomes are combined, but can be examined separately as well. This report provides details of the extent of premature mortality and disability estimated for over 170 disease and injury categories and for Aboriginal and Torres Strait Islander peoples living in remote and non-remote areas of Australia. Burden of disease analysis gives a unique perspective on health.  Fatal and non-fatal outcomes are combined, but can be examined separately as well. This report provides details of the extent of premature mortality and disability estimated for over 170 disease and injury categories and for Aboriginal and Torres Strait Islander peoples living in remote and non-remote areas of Australia. It also presents estimates of the amount of disease and injury caused by 11 major risk factors.  More importantly, it measures the Indigenous Health Gap, which is the difference between the observed burden of disease in Indigenous Australians and what it would have been if the same rates of burden of disease as in the total Australian population would have applied.
 This is of major policy interest.  The diseases and risk factors that contribute most to the Indigenous Health Gap are identified as health areas where appropriately resourced health services, combined with interventions to address the social and economic disadvantages faced by Indigenous Australians, are likely to have the greatest impact on reducing the burden of disease.
",,Aboriginal Australians
4587,Indigenous peoples and indicators of well-being: an Australian perspective on UNPFII Global Frameworks,"John Taylor outlines current Australian social indicator frameworks, including issues of statistical accountability and the politics of statistics. He discusses aspects of representations of Indigenous culture in formal reporting frameworks, and observes that the development of indicators in cross-cultural settings will always involve a degree of reductionism and a process of translation. The Programme of Action announced for the United Nation’s Second International Decade on the World’s Indigenous Peoples sets out a framework of key objectives for achievements during the decade, and this paper deals with the implication for measures of well-being from an Australian perspective.
",,Aboriginal Australians
4597,Building a sustainable National Indigenous Representative Body – issues for consideration,"This issues paper addresses the following three questions: * First, what lessons can be learned from mechanisms for representing Aboriginal and Torres Strait Islander peoples at the national, State/ Territory or regional level that have previously existed or that are currently in place? * Second, what lessons can be learned from mechanisms for representing Indigenous peoples that have been established in other countries? * And third, what options are there for ensuring that a National Indigenous Representative Body is sustainable?
 The research identifies the many and varied issues that need to be considered in the formulation of a new representative body. It does not propose a model for the body itself.
",,Aboriginal Australians
4742,Private land ownership: future agenda for Indigenous affairs?,"In this paper Larissa Behrendt argues that the ideologies of 'mainstreaming' and 'assimilation' have failed in the past to shift the poorer health, lower levels of education, higher levels of unemployment and poorer standard of housing that Aboriginal communities have experienced. In addressing key parts of the government's new arrangements - the National Indigenous Committee, shared responsibility agreements, and Indigenous land issues - Professor Behrendt argues that there needs to be a strong alternative vision from the ALP.
",,Aboriginal Australians
